Destination.City,Orgin.City,Satisfaction,Airline.Status,Age,Gender,Price.Sensitivity,Year.of.First.Flight,No.of.Flights.p.a.,X..of.Flight.with.other.Airlines,Type.of.Travel,No..of.other.Loyalty.Cards,Shopping.Amount.at.Airport,Eating.and.Drinking.at.Airport,Class,Day.of.Month,Flight.date,Airline.Code,Airline.Name,Origin.State,Destination.State,Scheduled.Departure.Hour,Departure.Delay.in.Minutes,Arrival.Delay.in.Minutes,Flight.cancelled,Flight.time.in.minutes,Flight.Distance,Arrival.Delay.greater.5.Mins,olong,olat,dlong,dlat
"Atlanta, GA","St. Louis, MO",4,Blue,50,Male,1,2008,43,2,Business travel,1,0,120,Eco,18,3/18/14,DL,Sigma Airlines Inc.,Missouri,Georgia,19,5,1,No,65,484,no,-90.340926,38.630705,-84.331858,33.824102
"Charleston, SC","New York, NY",4,Blue,68,Male,1,2011,15,10,Business travel,0,21,130,Eco,6,3/6/14,EV,FlyFast Airways Inc.,New York,South Carolina,9,5,14,No,109,641,yes,-73.970221,40.718357,-80.015543,32.902255
"Atlanta, GA","Buffalo, NY",5,Silver,42,Male,2,2012,0,3,Business travel,2,0,0,Business,20,2/20/14,DL,Sigma Airlines Inc.,New York,Georgia,17,0,9,No,109,712,yes,-78.823675,42.92493,-84.331858,33.824102
"Denver, CO","Indianapolis, IN",4,Blue,52,Male,2,2006,21,9,Business travel,0,0,120,Eco,5,2/5/14,F9,GoingNorth Airlines Inc.,Indiana,Colorado,7,34,96,No,170,977,yes,-86.145521,39.811262,-104.955096,39.710774
"San Francisco, CA","Washington, DC",4,Blue,17,Male,2,2006,12,6,Business travel,2,0,60,Eco,22,2/22/14,OU,Oursin Airlines Inc.,Virginia,California,8,0,2,No,347,2442,no,-77.18974,38.897394,-122.383287,37.754645
"Albuquerque, NM","Chicago, IL",5,Platinum,56,Female,1,2012,4,8,Business travel,0,15,37,Eco,20,1/20/14,WN,Cheapseats Airlines Inc.,Illinois,New Mexico,18,8,20,No,160,1121,yes,-87.895427,41.827126,-106.628138,35.143367
"Miami, FL","Tampa, FL",3,Blue,31,Male,1,2009,5,13,Business travel,1,0,70,Eco,25,3/25/14,AA,Paul Smith Airlines Inc.,Florida,Florida,7,0,7,No,44,204,yes,-82.513188,28.006247,-80.231428,26.175616
"Sioux City, IA","Chicago, IL",5,Gold,58,Male,1,2010,20,5,Business travel,0,10,50,Business,4,3/4/14,MQ,EnjoyFlying Air Services,Illinois,Iowa,19,17,9,No,72,436,yes,-87.895427,41.827126,-96.401324,42.482033
"Chicago, IL","Cincinnati, OH",4,Gold,38,Male,1,2003,10,12,Business travel,2,0,90,Eco,26,3/26/14,MQ,EnjoyFlying Air Services,Kentucky,Illinois,7,0,17,No,53,265,yes,-84.462043,39.185505,-87.895427,41.827126
"Buffalo, NY","Tampa, FL",4,Gold,28,Female,1,2008,15,5,Business travel,0,0,25,Eco,14,3/14/14,WN,Cheapseats Airlines Inc.,Florida,New York,11,1,0,No,141,1053,no,-82.513188,28.006247,-78.823675,42.92493
"Baltimore, MD","Dayton, OH",4,Blue,25,Male,1,2012,18,9,Business travel,0,0,90,Eco,24,2/24/14,WN,Cheapseats Airlines Inc.,Ohio,Maryland,6,0,0,No,52,406,no,-84.168145,39.754911,-76.64776,39.234099
"Houston, TX","Charlotte, NC",4,Blue,56,Male,1,2004,24,10,Business travel,0,150,120,Eco,21,3/21/14,US,Southeast Airlines Co.,North Carolina,Texas,9,0,0,No,134,912,no,-80.815826,35.249654,-95.393531,29.784308
"El Paso, TX","Houston, TX",4,Blue,41,Female,2,2011,13,27,Mileage tickets,3,0,10,Eco,16,2/16/14,EV,FlyFast Airways Inc.,Texas,Texas,8,0,0,No,92,667,no,-95.393531,29.784308,-106.389031,31.780239
"Dallas, TX","El Paso, TX",3,Silver,54,Male,1,2008,18,7,Personal Travel,2,0,20,Eco,27,2/27/14,WN,Cheapseats Airlines Inc.,Texas,Texas,6,0,0,No,72,562,no,-106.389031,31.780239,-96.972001,32.812727
